INCIDENT_NUMBER,SHOOTING_TYPE,INCIDENT_DATE,INCIDENT_YEAR,INCIDENT_LOCATION,CITY,STATE,ZIP,REPORTING_DISTRICT,GEO_LOCATION,HANDLING_UNIT_ID,HANDLING_UNIT_NAME,HIT_SHOOTING,NON_HIT_SHOOTING,ANIMAL_SHOOTING,OTHER_SHOOTING,UNINTENTIONAL_DISCHARGE,WARNING_SHOT,APPROX_LATITUDE,APPROX_LONGITUDE,ObjectId
1002091,1,2021/04/23 20:30:00+00,2021,1200 E. 67TH STREET,LOS ANGELES,CA,90001,2170,"1200 E. 67TH STREET
LOS ANGELES, CA 90001
(33.979227, -118.253644)",CEN,CENTURY STN,1,,,,,,33.979227,-118.253644,691
1000039,3,2010/09/28 14:20:00+00,2010,16500 LOS ALIMOS STREET,GRANADA HILLS,CA,91344,3661,"16500 LOS ALIMOS STREET
GRANADA HILLS, CA 91344
(34.265607, -118.491031)",TSB,TRANSIT SERVICES BUREAU,,,1,,,,34.265607,-118.491031,692
1000194,5,2010/11/03 22:50:00+00,2010,100 N. HUDSON AVENUE,CITY OF INDUSTRY,CA,91744,1414,"100 N. HUDSON AVENUE
CITY OF INDUSTRY, CA 91744
(34.024565, -117.959871)",IDT,INDUSTRY STN,,,,,1,,34.024565,-117.959871,693
1002193,1,2021/11/12 03:53:00+00,2021,5700 WHITTIER BLVD,COMMERCE,CA,90022,242,"5700 WHITTIER BLVD
COMMERCE, CA 90022
(34.01783, -118.14651)",ELA,EAST LA STN,1,,,,,,34.01783,-118.14651,694
1000156,3,2015/01/23 11:47:00+00,2015,5400 N. PECK ROAD,ARCADIA,CA,91006,8339,"5400 N. PECK ROAD
ARCADIA, CA 91006
(34.100974, -118.009518)",PKB,PARKS BUREAU,,,1,,,,34.100974,-118.009518,695
1001769,1,2019/10/06 22:40:00+00,2019,8200 REXALL AVE,WHITTIER,CA,90606,1578,"8200 REXALL AVE
WHITTIER, CA 90606
(33.968588, -118.073148)",PRV,PICO RIVERA STN,1,,,,,,33.968588,-118.073148,696
1000398,2,2012/04/17 16:10:00+00,2012,CEDAR STREET WEST OF BELLFLOWER BLVD,BELLFLOWER,CA,90706,1334,"CEDAR STREET WEST OF BELLFLOWER BLVD
BELLFLOWER, CA 90706
(33.871191, -118.125184)",LKD,LAKEWOOD STN,,1,,,,,33.871191,-118.125184,697
1001648,3,2018/11/20 09:30:00+00,2018,100 W. 9TH STREET,SAN BERNARDINO,CA,92401,,"100 W. 9TH STREET
SAN BERNARDINO, CA 92401
(34.115819, -117.287426)",MCJ,MEN'S CENTRAL JAIL,,,1,,,,34.115819,-117.287426,698
1000529,2,2015/06/27 22:20:00+00,2015,800 TAJAUTA AVENUE,COMPTON,CA,90220,2811,"800 TAJAUTA AVENUE
COMPTON, CA 90220
(33.901577, -118.246729)",COM,COMPTON STN,,1,,,,,33.901577,-118.246729,699
1001869,5,2019/11/02 20:51:00+00,2019,2000 MARENGO STREET,LOS ANGELES,CA,90063,,"2000 MARENGO STREET
LOS ANGELES, CA 90063
(34.060186, -118.206502)",ACB,ACCESS TO CARE BUREAU,,,,,1,,34.060186,-118.206502,700
1000224,5,2013/03/09 05:35:00+00,2013,400 BAUCHET STREET,LOS ANGELES,CA,90012,5120,"400 BAUCHET STREET
LOS ANGELES, CA 90012
(34.058657, -118.233016)",IRC,INMATE RECEPTION CENTER,,,,,1,,34.058657,-118.233016,701
1000297,1,2010/05/06 04:00:00+00,2010,21900 DEVLIN AVENUE,HAWAIIAN GARDENS,CA,90716,1351,"21900 DEVLIN AVENUE
HAWAIIAN GARDENS, CA 90716
(33.829523, -118.077365)",LKD,LAKEWOOD STN,1,,,,,,33.829523,-118.077365,702
1000040,3,2010/10/05 14:04:00+00,2010,13100 CROSSROADS PARKWAY,CITY OF INDUSTRY,CA,91746,1410,"13100 CROSSROADS PARKWAY
CITY OF INDUSTRY, CA 91746
(34.027814, -118.016255)",IDT,INDUSTRY STN,,,1,,,,34.027814,-118.016255,703
1000023,3,2010/05/18 08:04:00+00,2010,26100 ROYMER DRIVE,CALABASAS,CA,91302,2243,"26100 ROYMER DRIVE
CALABASAS, CA 91302
(34.15714, -118.694553)",LHS,LOS HILLS STATION,,,1,,,,34.15714,-118.694553,704
1000311,2,2010/07/27 18:57:00+00,2010,15300 AVALON BOULEVARD,COMPTON,CA,90248,2199,"15300 AVALON BOULEVARD
COMPTON, CA 90248
(33.892958, -118.265233)",CEN,CENTURY STN,,1,,,,,33.892958,-118.265233,705
1000036,3,2010/08/29 11:00:00+00,2010,2200 WALTER STREET,HUNTINGTON PARK,CA,90255,2178,"2200 WALTER STREET
HUNTINGTON PARK, CA 90255
(33.969589, -118.231731)",CEN,CENTURY STN,,,1,,,,33.969589,-118.231731,706
1000344,1,2011/03/01 15:29:00+00,2011,500 EAST AVENUE P-14,PALMDALE,CA,93550,2614,"500 EAST AVENUE P-14
PALMDALE, CA 93550
(34.601786, -118.120609)",PLM,PALMDALE STN,1,,,,,,34.601786,-118.120609,707
1000504,1,2014/11/16 02:39:00+00,2014,5300 EAST VERONA STREET,EAST LOS ANGELES,CA,90022,286,"5300 EAST VERONA STREET
EAST LOS ANGELES, CA 90022
(34.018034, -118.156987)",ELA,EAST LA STN,1,,,,,,34.018034,-118.156987,708
1002175,2,2021/09/19 16:02:00+00,2021,"Foster Road / Funston Avenue, Norwalk 90650",,CA,,454,"Foster Road / Funston Avenue, Norwalk 90650, CA",,,,1,,,,,,,709
1000996,1,2017/01/09 13:48:00+00,2017,4200 NORTH MOUNTAIN VIEW AVENUE,SAN BERNARDINO,CA,92407,,"4200 NORTH MOUNTAIN VIEW AVENUE
SAN BERNARDINO, CA 92407
(34.16825, -117.287257)",MCJ,MEN'S CENTRAL JAIL,1,,,,,,34.16825,-117.287257,710
1000221,5,2013/01/04 20:55:00+00,2013,400 BAUCHET STREET,LOS ANGELES,CA,90012,5100,"400 BAUCHET STREET
LOS ANGELES, CA 90012
(34.058657, -118.233016)",MCJ,MEN'S CENTRAL JAIL,,,,,1,,34.058657,-118.233016,711
1001119,3,2017/05/24 20:00:00+00,2017,1000 EAST TUCKER STREET,COMPTON,CA,90220,2823,"1000 EAST TUCKER STREET
COMPTON, CA 90220
(33.90696, -118.213913)",COM,COMPTON STN,,,1,,,,33.90696,-118.213913,712
1001402,1,2018/02/05 00:07:00+00,2018,12000 ARTESIA BOULEVARD,ARTESIA,CA,90701,1348,"12000 ARTESIA BOULEVARD
ARTESIA, CA 90701
(33.87295, -118.082145)",LKD,LAKEWOOD STN,1,,,,,,33.87295,-118.082145,713
1000252,5,2014/08/24 21:00:00+00,2014,400 BAUCHET STREET,LOS ANGELES,CA,90012,5100,"400 BAUCHET STREET
LOS ANGELES, CA 90012
(34.058657, -118.233016)",IRC,INMATE RECEPTION CENTER,,,,,1,,34.058657,-118.233016,714
1000105,3,2012/10/31 18:25:00+00,2012,4000 165TH STREET,LAWNDALE,CA,90260,334,"4000 165TH STREET
LAWNDALE, CA 90260
(33.881003, -118.343988)",SLA,SOUTH LOS ANGELES STATION,,,1,,,,33.881003,-118.343988,715
1000073,3,2011/01/24 11:30:00+00,2011,2600 PUNTA DEL ESTA DRIVE,HACIENDA HEIGHTS,CA,91745,1471,"2600 PUNTA DEL ESTA DRIVE
HACIENDA HEIGHTS, CA 91745
(33.984889, -117.953797)",IDT,INDUSTRY STN,,,1,,,,33.984889,-117.953797,716
1000271,5,2015/01/14 05:30:00+00,2015,1000 N. EASTERN AVENUE,LOS ANGELES,CA,90063,273,"1000 N. EASTERN AVENUE
LOS ANGELES, CA 90063
(34.048099, -118.175782)",NCCF,NORTH COUNTY CORRECTIONAL FACILITY,,,,,1,,34.048099,-118.175782,717
1000133,3,2013/07/28 12:15:00+00,2013,2100 E. SAN VINCENTE STREET,COMPTON,CA,90221,2826,"2100 E. SAN VINCENTE STREET
COMPTON, CA 90221
(33.899398, -118.200512)",COM,COMPTON STN,,,1,,,,33.899398,-118.200512,718
1000026,3,2010/06/04 21:42:00+00,2010,400 MENDOCINO STREET,ALTADENA,CA,91001,771,"400 MENDOCINO STREET
ALTADENA, CA 91001
(34.188691, -118.140965)",ALD,ALTADENA STN,,,1,,,,34.188691,-118.140965,719
1000418,1,2012/09/17 19:40:00+00,2012,16600 DOWNEY AVE.,PARAMOUNT,CA,90723,1369,"16600 DOWNEY AVE.
PARAMOUNT, CA 90723
(33.884018, -118.151345)",LKD,LAKEWOOD STN,1,,,,,,33.884018,-118.151345,720
1000417,1,2012/09/08 19:17:00+00,2012,2200 LONG BEACH BOULEVARD,COMPTON,CA,90221,2824,"2200 LONG BEACH BOULEVARD
COMPTON, CA 90221
(33.911105, -118.208963)",COM,COMPTON STN,1,,,,,,33.911105,-118.208963,721
1000184,3,2010/12/16 12:00:00+00,2010,E. 87TH STREET AND HOOPER AVENUE,LOS ANGELES,CA,90002,2174,"E. 87TH STREET AND HOOPER AVENUE
LOS ANGELES, CA 90002
(33.95923998404849, -118.25396500187324)",CEN,CENTURY STN,,,1,,,,33.959239984048488,-118.253965001873237,722
1000401,1,2012/05/13 21:03:00+00,2012,GLENCOE STREET AND OLEANDER AVENUE,COMPTON,CA,90220,2836,"GLENCOE STREET AND OLEANDER AVENUE
COMPTON, CA 90220
(33.8814869855469, -118.22778000527532)",COM,COMPTON STN,1,,,,,,33.8814869855469,-118.227780005275319,723
1000357,2,2011/07/23 01:58:00+00,2011,9200 WOODLEY AVENUE,LOS ANGELES,CA,91343,6885,"9200 WOODLEY AVENUE
LOS ANGELES, CA 91343
(34.237522, -118.485047)",TSB,TRANSIT SERVICES BUREAU,,1,,,,,34.237522,-118.485047,724
1000065,3,2011/11/09 22:40:00+00,2011,3700 EVERETT AVENUE,MAYWOOD,CA,90270,250,"3700 EVERETT AVENUE
MAYWOOD, CA 90270
(34.001931, -118.199472)",ELA,EAST LA STN,,,1,,,,34.001931,-118.199472,725
1000117,3,2011/05/14 17:35:00+00,2011,45100 70TH STREET WEST,LANCASTER,CA,93536,1159,"45100 70TH STREET WEST
LANCASTER, CA 93536
(34.703149, -118.254361)",LCS,LANCASTER STN,,,1,,,,34.703149,-118.254361,726
1001746,1,2019/07/26 16:43:00+00,2019,28800 BISON COURT,MALIBU,CA,90265,1013,"28800 BISON COURT
MALIBU, CA 90265
(34.01027, -118.79912)",MLH,MALIBU/LOST HILLS STN,1,,,,,,34.01027,-118.79912,727
1000330,2,2010/11/17 09:10:00+00,2010,1100 OAKS STREET,COMPTON,CA,90221,2823,"1100 OAKS STREET
COMPTON, CA 90221
(33.909204, -118.211543)",COM,COMPTON STN,,1,,,,,33.909204,-118.211543,728
1001098,1,2017/03/14 14:31:00+00,2017,13700 MULBERRY DRIVE,WHITTIER,CA,90605,492,"13700 MULBERRY DRIVE
WHITTIER, CA 90605
(33.94865, -118.036441)",OSS,OPERATION SAFE STREETS BUREAU,1,,,,,,33.94865,-118.036441,729
1000071,3,2011/11/29 23:45:00+00,2011,12800 HAWTHORNE BOULEVARD,HAWTHORNE,CA,90250,399,"12800 HAWTHORNE BOULEVARD
HAWTHORNE, CA 90250
(33.916226, -118.352423)",SLA,SOUTH LOS ANGELES STATION,,,1,,,,33.916226,-118.352423,730
1000084,3,2012/05/17 18:15:00+00,2012,1700 144TH STREET,GARDENA,CA,90247,3603,"1700 144TH STREET
GARDENA, CA 90247
(33.900989, -118.30722)",COP,COPS BUREAU,,,1,,,,33.900989,-118.30722,731
1000110,3,2012/12/06 12:01:00+00,2012,8700 WEST BOULEVARD,PICO RIVERA,CA,90660,1510,"8700 WEST BOULEVARD
PICO RIVERA, CA 90660
(34.003989, -118.086864)",PRV,PICO RIVERA STN,,,1,,,,34.003989,-118.086864,732
1001160,5,2017/06/23 02:35:00+00,2017,100 CLAREMONT AVENUE,LONG BEACH,CA,90803,2899,"100 CLAREMONT AVENUE
LONG BEACH, CA 90803
(33.755539, -118.132718)",COM,COMPTON STN,,,,,1,,33.755539,-118.132718,733
1000358,1,2011/07/21 12:33:00+00,2011,1000 WEST WASHINGTON BOULEVARD,LOS ANGELES,CA,90015,1499,"1000 WEST WASHINGTON BOULEVARD
LOS ANGELES, CA 90015
(34.03813, -118.280456)",IDT,INDUSTRY STN,1,,,,,,34.03813,-118.280456,734
1000465,1,2013/10/27 01:27:00+00,2013,16400 WOODRUFF AVE.,BELLFLOWER,CA,90706,1337,"16400 WOODRUFF AVE.
BELLFLOWER, CA 90706
(33.88556, -118.117335)",LKD,LAKEWOOD STN,1,,,,,,33.88556,-118.117335,735
1000147,3,2011/02/28 16:00:00+00,2011,800 CALBAS STREET,CARSON,CA,90745,1628,"800 CALBAS STREET
CARSON, CA 90745
(33.829392, -118.261313)",CSN,CARSON STN,,,1,,,,33.829392,-118.261313,736
1002268,2,2022/05/08 19:33:00+00,2022,3800 CHANSON DRIVE,LADERA HEIGHTS,CA,90043,2767,"3800 CHANSON DRIVE
LADERA HEIGHTS, CA 90043
(33.99779, -118.34186)",MAR,MARINA DEL REY STN,,1,,,,,33.99779,-118.34186,737
1001726,1,2019/06/27 22:58:00+00,2019,300 GERHART AVENUE,LOS ANGELES,CA,90022,285,"300 GERHART AVENUE
LOS ANGELES, CA 90022
(34.030415, -118.14395)",ELA,EAST LA STN,1,,,,,,34.030415,-118.14395,738
1000381,1,2012/02/01 21:02:00+00,2012,44900 SPEARMAN AVENUE,LANCASTER,CA,93534,1132,"44900 SPEARMAN AVENUE
LANCASTER, CA 93534
(34.698743, -118.132932)",OSS,OPERATION SAFE STREETS BUREAU,1,,,,,,34.698743,-118.132932,739
1000098,3,2012/08/31 12:20:00+00,2012,21800 S. WATER STREET,CARSON,CA,90745,1620,"21800 S. WATER STREET
CARSON, CA 90745
(33.83021, -118.241525)",CSN,CARSON STATION,,,1,,,,33.83021,-118.241525,740
1000361,1,2011/09/09 21:19:00+00,2011,2400 CYPRESS STREET,COMPTON,CA,90220,2830,"2400 CYPRESS STREET
COMPTON, CA 90220
(33.887564, -118.254348)",COM,COMPTON STN,1,,,,,,33.887564,-118.254348,741
1000492,2,2013/08/15 17:44:00+00,2013,4100 NAOMI AVENUE,LOS ANGELES,CA,90011,399,"4100 NAOMI AVENUE
LOS ANGELES, CA 90011
(34.009238, -118.253793)",SLA,SOUTH LOS ANGELES STATION,,1,,,,,34.009238,-118.253793,742
1000280,5,2015/06/10 04:50:00+00,2015,11200 DUNE STREET,NORWALK,CA,90650,451,"11200 DUNE STREET
NORWALK, CA 90650
(33.921509, -118.094)",SEB,SPECIAL ENFORCEMENT BUR,,,,,1,,33.921509,-118.094,743
1000327,2,2010/11/05 02:30:00+00,2010,12300 SPROUL STREET,NORWALK,CA,90650,459,"12300 SPROUL STREET
NORWALK, CA 90650
(33.907957, -118.070772)",NWK,NORWALK REGIONAL STN,,1,,,,,33.907957,-118.070772,744
1000277,5,2015/05/23 19:30:00+00,2015,5400 OLANDA STREET,LYNWOOD,CA,90262,2118,"5400 OLANDA STREET
LYNWOOD, CA 90262
(33.907568, -118.186475)",CEN,CENTURY STN,,,,,1,,33.907568,-118.186475,745
1000473,1,2013/12/29 01:20:00+00,2013,2500 EL TORO ROAD,MONROVIA,CA,91010,583,"2500 EL TORO ROAD
MONROVIA, CA 91010
(34.119987, -117.992453)",TEM,TEMPLE CITY STN,1,,,,,,34.119987,-117.992453,746
1001546,1,2018/08/12 02:04:00+00,2018,500 COLONIA DE LAS MAGNOLIAS,LOS ANGELES,CA,90022,291,"500 COLONIA DE LAS MAGNOLIAS
LOS ANGELES, CA 90022
(34.044182, -118.161924)",ELA,EAST LA STN,1,,,,,,34.044182,-118.161924,747
1000410,2,2012/08/16 01:40:00+00,2012,W. 127TH STREET AND NORMANDIE AVENUE,LOS ANGELES,CA,90047,377,"W. 127TH STREET AND NORMANDIE AVENUE
LOS ANGELES, CA 90047
(33.917363, -118.300408)",SLA,SOUTH LOS ANGELES STATION,,1,,,,,33.917363,-118.300408,748
1001926,1,2020/05/26 17:15:00+00,2020,1100  W. 109TH PLACE,LOS ANGELES,CA,90044,375,"1100 W. 109TH PLACE
LOS ANGELES, CA 90044
(33.936723, -118.296257)",SLA,SOUTH LOS ANGELES STATION,1,,,,,,33.936723,-118.296257,749
1000353,1,2011/05/25 20:33:00+00,2011,11600 SOUTH CENTRAL AVENUE,LOS ANGELES,CA,90059,2131,"11600 SOUTH CENTRAL AVENUE
LOS ANGELES, CA 90059
(33.929468, -118.25428)",CEN,CENTURY STN,1,,,,,,33.929468,-118.25428,750
1000244,5,2014/03/28 10:15:00+00,2014,600 E. LONG BEACH BOULEVARD,COMPTON,CA,90221,2824,"600 E. LONG BEACH BOULEVARD
COMPTON, CA 90221
(33.890954, -118.207596)",COM,COMPTON STN,,,,,1,,33.890954,-118.207596,751
1000004,3,2011/06/02 07:20:00+00,2011,800 GAGE AVENUE,LOS ANGELES,CA,90063,977,"800 GAGE AVENUE
LOS ANGELES, CA 90063
(34.04486, -118.184667)",WHD,WEST HOLLYWOOD STN,,,1,,,,34.04486,-118.184667,752
1000454,1,2013/08/28 17:49:00+00,2013,2000 PIRU STREET,COMPTON,CA,90220,2137,"2000 PIRU STREET
COMPTON, CA 90220
(33.908389, -118.236121)",CEN,CENTURY STN,1,,,,,,33.908389,-118.236121,753
1002291,2,2022/06/07 13:00:00+00,2022,8500 ROSECRANS AVENUE,PARAMOUNT,CA,90723,1365,"8500 ROSECRANS AVENUE
PARAMOUNT, CA 90723
(33.90353, -118.14974)",LKD,LAKEWOOD STN,,1,,,,,33.90353,-118.14974,754
1000686,1,2016/02/20 21:25:00+00,2016,15100 GUNDRY AVENUE,PARAMOUNT,CA,90723,1366,"15100 GUNDRY AVENUE
PARAMOUNT, CA 90723
(33.894729, -118.175544)",OSS,OPERATION SAFE STREETS BUREAU,1,,,,,,33.894729,-118.175544,755
1000338,1,2011/02/05 21:56:00+00,2011,3200 THOMAS AVENUE,PALMDALE,CA,93550,2603,"3200 THOMAS AVENUE
PALMDALE, CA 93550
(34.550873, -118.071451)",PLM,PALMDALE STN,1,,,,,,34.550873,-118.071451,756
1000173,3,2011/06/13 17:50:00+00,2011,15700 LEAHY AVENUE,BELLFLOWER,CA,90706,1332,"15700 LEAHY AVENUE
BELLFLOWER, CA 90706
(33.890347, -118.124199)",LKD,LAKEWOOD STN,,,1,,,,33.890347,-118.124199,757
1001930,1,2020/06/07 02:23:00+00,2020,17300 RAILROAD STREET,INDUSTRY,CA,91748,1418,"17300 RAILROAD STREET
INDUSTRY, CA 91748
(34.002388, -117.92806)",IND,INDUSTRY STN,1,,,,,,34.002388,-117.92806,758
1000574,5,2015/08/16 12:45:00+00,2015,900 SOUTH CENTRAL AVENUE,COMPTON,CA,90221,2831,"900 SOUTH CENTRAL AVENUE
COMPTON, CA 90221
(33.888318, -118.249988)",COM,COMPTON STN,,,,,1,,33.888318,-118.249988,759
1000022,3,2010/05/17 22:05:00+00,2010,9300 KALMIA STREET,LOS ANGELES,CA,90002,2177,"9300 KALMIA STREET
LOS ANGELES, CA 90002
(33.952258, -118.231723)",CEN,CENTURY STN,,,1,,,,33.952258,-118.231723,760
1000191,5,2010/05/04 21:35:00+00,2010,400 BAUCHET STREET,LOS ANGELES,CA,90012,4300,"400 BAUCHET STREET
LOS ANGELES, CA 90012
(34.058473267785885, -118.2329648449755)",TST,TRANSPORTATION BUREAU,,,,,1,,34.058473267785883,-118.232964844975501,761
1001806,5,2019/08/12 20:30:00+00,2019,11700 SOUTH ALAMEDA STREET,LYNWOOD,CA,90062,,"11700 SOUTH ALAMEDA STREET
LYNWOOD, CA 90062
(33.932687, -118.226178)",CRD,CENTURY REG DETEN FAC,,,,,1,,33.932687,-118.226178,762
1000079,3,2012/03/15 08:00:00+00,2012,3RD STREET AND MEDNICK AVENUE,EAST LOS ANGELES,CA,90022,281,"3RD STREET AND MEDNICK AVENUE
EAST LOS ANGELES, CA 90022
(34.033265, -118.162266)",ELA,EAST LA STN,,,1,,,,34.033265,-118.162266,763
1002074,5,2021/03/04 04:42:00+00,2021,15300 WOODRUFF PLACE,BELLFLOWER,CA,90706,1337,"15300 WOODRUFF PLACE
BELLFLOWER, CA 90706
(33.893722, -118.11725)",SEB,SPECIAL ENFORCEMENT BUR,,,,,1,,33.893722,-118.11725,764
1000109,3,2012/11/28 05:50:00+00,2012,3000 E. AVENUE K-4,LANCASTER,CA,93535,1137,"3000 E. AVENUE K-4
LANCASTER, CA 93535
(34.671598, -118.076813)",LCS,LANCASTER STN,,,1,,,,34.671598,-118.076813,765
1000061,3,2011/07/14 07:20:00+00,2011,9300 ROSE STREET,ROSEMEAD,CA,91770,3605,"9300 ROSE STREET
ROSEMEAD, CA 91770
(34.084559, -118.065191)",NARCO,NARCOTICS BUREAU,,,1,,,,34.084559,-118.065191,766
1000159,3,2015/02/13 08:29:00+00,2015,223RD STREET AND ALAMEDA STREET,CARSON,CA,90810,626,"223RD STREET AND ALAMEDA STREET
CARSON, CA 90810
(33.824521, -118.228604)",CSN,CARSON STATION,,,1,,,,33.824521,-118.228604,767
1000337,1,2011/01/10 20:20:00+00,2011,5400 N. PECK ROAD,ARCADIA,CA,91006,8339,"5400 N. PECK ROAD
ARCADIA, CA 91006
(34.100974, -118.009518)",PKB,PARKS BUREAU,1,,,,,,34.100974,-118.009518,768
1000016,3,2010/01/14 11:40:00+00,2010,9200 CALIFORNIA AVENUE,SOUTH GATE,CA,90280,2199,"9200 CALIFORNIA AVENUE
SOUTH GATE, CA 90280
(33.950842, -118.20658)",CEN,CENTURY STN,,,1,,,,33.950842,-118.20658,769
1000220,5,2012/10/29 21:50:00+00,2012,5100 CLARK AVENUE,LAKEWOOD,CA,90712,1300,"5100 CLARK AVENUE
LAKEWOOD, CA 90712
(33.851227, -118.133773)",LKD,LAKEWOOD STN,,,,,1,,33.851227,-118.133773,770
1000212,5,2012/05/30 07:40:00+00,2012,900 W. D STREET,WILMINGTON,CA,90744,6853,"900 W. D STREET
WILMINGTON, CA 90744
(33.773603, -118.272398)",TSB,TRANSIT SERVICES BUREAU,,,,,1,,33.773603,-118.272398,771
1000290,2,2010/02/10 21:45:00+00,2010,1300 WEST 139TH STREET,COMPTON,CA,90222,2812,"1300 WEST 139TH STREET
COMPTON, CA 90222
(33.90574174912721, -118.25189214720194)",COM,COMPTON STN,,1,,,,,33.905741749127212,-118.25189214720194,772
1002197,1,2021/12/15 00:00:00+00,2021,12400 12400 SHOEMAKER RD,WHITTIER,CA,90605,494,"12400 12400 SHOEMAKER RD
WHITTIER, CA 90605
(33.91924, -118.05479)",SEB,SPECIAL ENFORCEMENT BUR,1,,,,,,33.91924,-118.05479,773
1000341,1,2011/02/18 23:27:00+00,2011,900 E NEW YORK DRIVE,ALTADENA,CA,91001,774,"900 E NEW YORK DRIVE
ALTADENA, CA 91001
(34.178443, -118.131826)",ALD,ALTADENA STN,1,,,,,,34.178443,-118.131826,774
1000578,5,2015/10/18 01:00:00+00,2015,6 MILES WEST OF HIGHWAY 14,DOVE SPRINGS,CA,93283,3199,"6 MILES WEST OF HIGHWAY 14
DOVE SPRINGS, CA 93283
(34.452905, -118.100085)",PLM,PALMDALE STN,,,,,1,,34.452905,-118.100085,775
1000057,3,2011/06/11 17:34:00+00,2011,37400 77TH STREET E.,LITTLEROCK,CA,93536,2660,"37400 77TH STREET E.
LITTLEROCK, CA 93536
(34.535551, -117.992571)",LCS,LANCASTER STN,,,1,,,,34.535551,-117.992571,776
1000095,3,2012/07/31 11:15:00+00,2012,1500 W. 87TH STREET,LOS ANGELES,CA,90047,3661,"1500 W. 87TH STREET
LOS ANGELES, CA 90047
(33.959012, -118.302475)",NARCO,NARCOTICS BUREAU,,,1,,,,33.959012,-118.302475,777
1001281,1,2017/09/11 17:43:00+00,2017,1200 STICHMAN AVENUE,WEST VALINDA,CA,91746,1420,"1200 STICHMAN AVENUE
WEST VALINDA, CA 91746
(34.061364, -117.978351)",IND,INDUSTRY STN,1,,,,,,34.061364,-117.978351,778
1000521,1,2015/03/25 00:00:00+00,2015,102ND STREET AND S. VERMONT AVE,LOS ANGELES,CA,90044,577,"102ND STREET AND S. VERMONT AVE
LOS ANGELES, CA 90044
(33.94408299312416, -118.29182501144271)",SLA,SOUTH LOS ANGELES STATION,1,,,,,,33.944082993124164,-118.291825011442712,779
1000484,1,2014/04/29 04:15:00+00,2014,100 NORTH GAGE AVENUE,EAST LOS ANGELES,CA,90063,276,"100 NORTH GAGE AVENUE
EAST LOS ANGELES, CA 90063
(34.036036, -118.184622)",SEB,SPECIAL ENFORCEMENT BUR,1,,,,,,34.036036,-118.184622,780
1001707,1,2019/06/06 22:27:00+00,2019,3700 IMPERIAL HIGHWAY,INGLEWOOD,CA,90303,399,"3700 IMPERIAL HIGHWAY
INGLEWOOD, CA 90303
(33.930455, -118.337488)",SLA,SOUTH LOS ANGELES STATION,1,,,,,,33.930455,-118.337488,781
1000041,3,2010/10/20 23:02:00+00,2010,15700 S. HASKINS AVENUE,COMPTON,CA,90220,2873,"15700 S. HASKINS AVENUE
COMPTON, CA 90220
(33.889434, -118.262074)",COM,COMPTON STN,,,1,,,,33.889434,-118.262074,782
1000689,1,2016/03/05 23:01:00+00,2016,800 120TH STREET,LOS ANGELES,CA,90044,378,"800 120TH STREET
LOS ANGELES, CA 90044
(33.923549, -118.290076)",SLA,SOUTH LOS ANGELES STATION,1,,,,,,33.923549,-118.290076,783
1000193,5,2010/08/18 05:50:00+00,2010,27600 AVENIDA DEL MESA,RANCHO PALOS VERDES,CA,90275,1747,"27600 AVENIDA DEL MESA
RANCHO PALOS VERDES, CA 90275
(33.770069, -118.316115)",LMT,LOMITA STN,,,,,1,,33.770069,-118.316115,784
1000975,1,2016/12/24 16:45:00+00,2016,3400 GREENGLADE AVE,PICO RIVERA,CA,90660,1511,"3400 GREENGLADE AVE
PICO RIVERA, CA 90660
(34.017974, -118.065606)",PRV,PICO RIVERA STN,1,,,,,,34.017974,-118.065606,785
1000472,2,2013/12/04 07:35:00+00,2013,1700 NORTH GRAMERCY PLACE,LOS ANGELES,CA,90028,973,"1700 NORTH GRAMERCY PLACE
LOS ANGELES, CA 90028
(34.101714, -118.312239)",MCB,MAJOR CRIMES BUREAU,,1,,,,,34.101714,-118.312239,786
1000438,1,2013/05/01 19:25:00+00,2013,ADON AVENUE EAST AND SIERRA HIGHWAY,CANYON COUNTRY,CA,91351,631,"ADON AVENUE EAST AND SIERRA HIGHWAY
CANYON COUNTRY, CA 91351
(34.425456997911546, -118.44879297512091)",SCV,SANTA CLARITA VALLEY STN,1,,,,,,34.425456997911548,-118.448792975120915,787
1000576,5,2015/09/11 10:45:00+00,2015,2000 E. IMPERIAL HIGHWAY,LOS ANGELES,CA,90059,6014,"2000 E. IMPERIAL HIGHWAY
LOS ANGELES, CA 90059
(33.929132, -118.236345)",TBS,TRANSIT BUREAU SOUTH,,,,,1,,33.929132,-118.236345,788
1000278,5,2015/05/24 18:20:00+00,2015,500 W. LANCASTER BOULEVARD,LANCASTER,CA,93534,1122,"500 W. LANCASTER BOULEVARD
LANCASTER, CA 93534
(34.698335, -118.136932)",LCS,LANCASTER STN,,,,,1,,34.698335,-118.136932,789
1001262,5,2017/09/13 17:10:00+00,2017,500 NORTH ALAMEDA AVENUE,AZUSA,CA,91702,,"500 NORTH ALAMEDA AVENUE
AZUSA, CA 91702
(34.129863, -117.906232)",SO,PITCHESS SOUTH FACILITY,,,,,1,,34.129863,-117.906232,790
1000234,5,2013/10/09 00:20:00+00,2013,700 W. POPLAR STREET,COMPTON,CA,90220,2814,"700 W. POPLAR STREET
COMPTON, CA 90220
(33.900019, -118.236026)",COM,COMPTON STN,,,,,1,,33.900019,-118.236026,791
